Sujet	Prédicat	Objet
<http://viaf.org/viaf/83985148>	schema:author	wikidata:Q2707099
<http://viaf.org/viaf/10638270>	schema:additionalName	<http://viaf.org/viaf/10638270>
<http://viaf.org/viaf/100226923>	schema:birthDate	58
<http://viaf.org/viaf/104162705>	schema:deathDate	-35
<http://viaf.org/viaf/8099277>	dbpedia:deathDate	104
<http://viaf.org/viaf/309541915>	schema:Book	<http://viaf.org/viaf/990145856882922920263>
<http://viaf.org/viaf/100219060>	schema:hasOccupation	wikidata:Q201788
<http://viaf.org/viaf/90637919>	relationship:enemyOf	wikidata:Q229871
<http://viaf.org/viaf/100226923>	pschema:hasOccupation	wikidata:Q201788
<http://viaf.org/viaf/104162705>	foaf:name	Gaius Sallustius Crispus
<http://viaf.org/viaf/66462281>	foaf:publications	wikidata:Q2523113
<http://viaf.org/viaf/104162705>	schema:workLocation	<http://pleiades.stoa.org/places/423025>
<viaf.org/viaf/78769600>	foaf:name	Cicéron
<http://viaf.org/viaf/90637919>	relationship:childOf	wikidata:Q273671
<http://viaf.org/viaf/100227522>	schema:performerIn	wikidata:Q335330
<http://viaf.org/viaf/286265178>	wikidataProp:P53	wikidata:Q192841
<http://viaf.org/viaf/100227522>	foaf:publications	<http://viaf.org/viaf/179441309>
<http://viaf.org/viaf/88342447>	schema:givenName	Naso
<viaf.org/viaf/78769600>	pschema:hasOccupation	wikidata:Q189430
<viaf.org/viaf/78769600>	schema:deathPlace	<http://pleiades.stoa.org/places/432734>
<http://viaf.org/viaf/18013086>	schema:children	<http://viaf.org/viaf/56580498>
<http://viaf.org/viaf/298310776>	schema:deathPlace	<http://pleiades.stoa.org/places/423025>
<http://viaf.org/viaf/18013086>	schema:nationality	<http://pleiades.stoa.org/places/837078212>
<http://viaf.org/viaf/100226923>	schema:follows	<http://viaf.org/viaf/99942145>
<http://viaf.org/viaf/286265178>	wikidataProp:P410	wikidata:Q83460
<http://viaf.org/viaf/100227522>	schema:deathPlace	<http://pleiades.stoa.org/places/423025>
<http://viaf.org/viaf/104162705>	schema:birthPlace	<http://pleiades.stoa.org/places/413013>
<http://viaf.org/viaf/106388020>	foaf:name	Lucrèce
<http://viaf.org/viaf/18013086>	schema:birthDate	23/09/-63
<http://viaf.org/viaf/90637919>	schema:deathDate	12/04/65
<http://viaf.org/viaf/66462281>	foaf:publications	<http://viaf.org/viaf/181526271/>
<http://viaf.org/viaf/18013086>	schema:hasOccupation	wikidata:Q83204
<http://viaf.org/viaf/100227522>	foaf:publications	<http://viaf.org/viaf/181240107>
<http://viaf.org/viaf/18013086>	schema:sponsor	<http://viaf.org/viaf/8194433>
<http://viaf.org/viaf/66462281>	schema:birthPlace	<http://pleiades.stoa.org/places/413306>
<http://viaf.org/viaf/100226923>	schema:author	<http://viaf.org/viaf/306068107>
<http://viaf.org/viaf/298310776>	schema:knows	<http://viaf.org/viaf/88642691>
<http://viaf.org/viaf/100226923>	pschema:hasOccupation	wikidata:Q15686806
<http://viaf.org/viaf/83985148>	foaf:name	Juvénal
<http://viaf.org/viaf/18013086>	schema:children	<http://viaf.org/viaf/58081943>
<http://viaf.org/viaf/90637919>	foaf:publications	wikidata:Q720535
<http://viaf.org/viaf/100219060>	schema:author	<http://viaf.org/viaf/207939228>
<http://viaf.org/viaf/12290061>	pschema:hasOccupation	wikidata:Q40779
<http://viaf.org/viaf/309541915>	schema:Book	<http://viaf.org/viaf/88342447>
<http://viaf.org/viaf/18013086>	schema:deathDate	08/19/14
<http://viaf.org/viaf/8194433>	foaf:knows	<http://viaf.org/viaf/11381108>
<http://viaf.org/viaf/10638270>	schema:birthPlace	<http://pleiades.stoa.org/places/383627>
<http://viaf.org/viaf/106388020>	schema:birthPlace	<http://pleiades.stoa.org/places/423025>
<http://viaf.org/viaf/8099277>	schema:funder	<http://viaf.org/viaf/96284078>
wikidata:Q1234585	foaf:publications	<http://viaf.org/viaf/66462281>
<http://viaf.org/viaf/286265178>	schema:deathDate	<http://pleiades.stoa.org/places/423025>
<http://viaf.org/viaf/66462281>	schema:hasOccupation	wikidata:Q500251
<http://viaf.org/viaf/66462384>	schema:author	wikidata:Q1233598
<http://viaf.org/viaf/8099277>	dbpedia:birthPlace	<http://pleiades.stoa.org/places/1027>
<viaf.org/viaf/78769600>	pschema:hasOccupation	wikidata:Q205757
<http://viaf.org/viaf/66462384>	schema:author	wikidata:Q355342
<http://viaf.org/viaf/286265178>	foaf:name	Caius Iulius Caesar IV
<http://viaf.org/viaf/18013086>	dbpedia:placeOfBurial	<http://pleiades.stoa.org/places/422863>
<viaf.org/viaf/78769600>	pschema:hasOccupation	wikidata:Q2912782
<http://viaf.org/viaf/176199512>	dct:creator	<http://viaf.org/viaf/106388020>
<http://viaf.org/viaf/100227522>	schema:deathDate	00/11/-0008
<viaf.org/viaf/78769600>	schema:nationality	wikidata:Q1747689
<http://viaf.org/viaf/88342447>	foaf:Group	wikidata:Q122166
<http://viaf.org/viaf/66462384>	foaf:name	Publius Terentius Afer
<http://viaf.org/viaf/100227522>	schema:affiliation	wikidata:Q122166
<http://viaf.org/viaf/106388020>	schema:deathDate	-54
<http://viaf.org/viaf/100227522>	schema:birthPlace	<http://pleiades.stoa.org/places/442847>
<http://viaf.org/viaf/100226923>	schema:birthPlace	<http://pleiades.stoa.org/places/981537>
<http://viaf.org/viaf/8099277>	dbpedia:eponym	wikidata:Q15139124
<http://viaf.org/viaf/66462281>	foaf:publications	<http://viaf.org/viaf/176788865/>
<http://viaf.org/viaf/100219060>	foaf:name	Cornelius Nepos
<http://viaf.org/viaf/176199512>	schema:citation	<http://viaf.org/viaf/177736136>
<http://viaf.org/viaf/96539514>	schema:sponsor	<http://viaf.org/viaf/100226923>
<http://viaf.org/viaf/83985148>	pschema:hasOccupation	wikidata:Q49757
<http://viaf.org/viaf/286265178>	schema:deathDate	-44
<http://viaf.org/viaf/90637919>	foaf:Organization	wikidata:Q787204
<http://viaf.org/viaf/8099277>	foaf:name	"Martial"
<http://viaf.org/viaf/100219060>	schema:GenderType	schema:Male
<viaf.org/viaf/78769600>	foaf:name	Marcus Tullius Cicero
wikidata:Q229871	relationship:spouseOf	wikidata:Q1411
<viaf.org/viaf/78769600>	pschema:hasOccupation	wikidata:Q4964182
<http://viaf.org/viaf/309541915>	schema:Book	<http://viaf.org/viaf/174402707/>
<http://viaf.org/viaf/100219060>	schema:author	<http://viaf.org/viaf/181179180>
<http://viaf.org/viaf/10638270>	pschema:hasOccupation	wikidata:Q40348
<http://viaf.org/viaf/88342447>	dc:identifier	wikidata:Q7198
<http://viaf.org/viaf/100219060>	schema:hasOccupation	wikidata:Q36180
<http://viaf.org/viaf/18013086>	dc:identifier	<urn:cts:latinLit:phi1221>
<http://viaf.org/viaf/298310776>	foaf:publications	<http://viaf.org/processed/BNF%7C14483957>
<http://viaf.org/viaf/298310776>	schema:knows	Juventius
<http://viaf.org/viaf/309541915>	schema:Book	<http://viaf.org/viaf/302466394>
<http://viaf.org/viaf/286265178>	wikidataProp:P25	wikidata:Q232725
<http://viaf.org/viaf/66462384>	foaf:name	Térence
<viaf.org/viaf/78769600>	pschema:hasOccupation	wikidata:Q12859263
<http://viaf.org/viaf/106388020>	foaf:birthday	-94
<http://viaf.org/viaf/66462281>	foaf:publications	<http://viaf.org/viaf/177333620/>
<http://viaf.org/viaf/176199512>	dct:title	De la nature des choses
<http://viaf.org/viaf/66462384>	foaf:maker	wikidata:Q40831
<http://viaf.org/viaf/18013086>	schema:children	<http://viaf.org/viaf/316751293>
<http://viaf.org/viaf/66462281>	schema:deathDate	-184
<http://viaf.org/viaf/100227522>	schema:hasOccupation	wikidata:Q849288
<http://viaf.org/viaf/106388020>	foaf:name	Titus Lucretius Carus
<http://viaf.org/viaf/298310776>	schema:knows	<http://viaf.org/viaf/100219060>
<http://viaf.org/viaf/104162705>	foaf:name	Salluste
<http://viaf.org/viaf/10638270>	foaf:name	Pline Le Jeune
<http://viaf.org/viaf/10638270>	pschema:hasOccupation	wikidata:Q1190123
<http://viaf.org/viaf/286265178>	foaf:knows	<http://viaf.org/viaf/67762941>
<http://viaf.org/viaf/83985148>	schema:deathPlace	<http://pleiades.stoa.org/places/716588>
<viaf.org/viaf/78769600>	foaf:birthday	3/01/-106
