Source	Label	Target
https://viaf.org/viaf/176199512	http://purl.org/dc/terms/creator	https://viaf.org/viaf/106388020	
https://viaf.org/viaf/176199512	http://purl.org/dc/terms/title	De	la	nature	des	choses	fre	
https://viaf.org/viaf/176199512	http://purl.org/dc/terms/title	De	rerum	natura	lat
https://viaf.org/viaf/106388020	http://schema.org/birthPlace	https://pleiades.stoa.org/places/423025	
https://viaf.org/viaf/106388020	http://schema.org/deathDate	-54	
https://viaf.org/viaf/176199512	http://schema.org/citation	https://viaf.org/viaf/177736136	
https://viaf.org/viaf/286265178	http://xmlns.com/foaf/0.1/name	César	fre
https://viaf.org/viaf/286265178	http://xmlns.com/foaf/0.1/name	Caius	Iulius	Caesar	IV	lat
https://viaf.org/viaf/286265178	http://schema.org/birthDate	-100	
https://viaf.org/viaf/286265178	http://schema.org/deathDate	-44	
https://viaf.org/viaf/286265178	http://schema.org/birthPlace	https://pleiades.stoa.org/places/423025	
https://viaf.org/viaf/286265178	http://schema.org/deathDate	https://pleiades.stoa.org/places/423025	
https://viaf.org/viaf/286265178	http://pending.schema.org/hasOccupation	https://www.wikidata.org/wiki/Q82955	
https://viaf.org/viaf/286265178	https://www.wikidata.org/wiki/Property:P410	https://www.wikidata.org/wiki/Q83460	
https://viaf.org/viaf/286265178	http://pending.schema.org/hasOccupation	https://www.wikidata.org/wiki/Q36180	
https://viaf.org/viaf/286265178	https://www.wikidata.org/wiki/Property:P39	https://www.wikidata.org/wiki/Q236885	
https://www.wikidata.org/wiki/Q106199	http://purl.org/dc/elements/1.1/creator	https://viaf.org/viaf/286265178	
https://www.wikidata.org/wiki/Q544948	http://purl.org/dc/elements/1.1/creator	https://viaf.org/viaf/286265178	
https://viaf.org/viaf/286265178	https://www.wikidata.org/wiki/Property:P1196	https://www.wikidata.org/wiki/Q149086	
https://viaf.org/viaf/286265178	https://www.wikidata.org/wiki/Property:P25	https://www.wikidata.org/wiki/Q232725	
https://viaf.org/viaf/286265178	https://www.wikidata.org/wiki/Property:P40	https://www.wikidata.org/wiki/Q1405	
https://viaf.org/viaf/286265178	http://xmlns.com/foaf/0.1/knows	https://viaf.org/viaf/67762941	
https://viaf.org/viaf/286265178	https://www.wikidata.org/wiki/Property:P53	https://www.wikidata.org/wiki/Q192841	
https://viaf.org/viaf/286265178	https://dbpedia.org/ontology/Victory	https://viaf.org/viaf/18018702	
https://viaf.org/viaf/286265178	https://www.wikidata.org/wiki/Property:P39	https://www.wikidata.org/wiki/Q21597597	
https://viaf.org/viaf/286265178	https://www.wikidata.org/wiki/Property:P21	https://www.wikidata.org/wiki/Q6581097	
https://viaf.org/viaf/286265178	https://www.wikidata.org/wiki/Property:P22	https://www.wikidata.org/wiki/Q314710	
https://viaf.org/viaf/104162705	http://xmlns.com/foaf/0.1/name	Salluste	fre
https://viaf.org/viaf/104162705	http://xmlns.com/foaf/0.1/name	Gaius	Sallustius	Crispus	lat
https://viaf.org/viaf/104162705	http://xmlns.com/foaf/0.1/birthday	-86	fre
https://viaf.org/viaf/104162705	http://schema.org/birthPlace	https://pleiades.stoa.org/places/413013	
https://viaf.org/viaf/104162705	http://schema.org/deathPlace	https://pleiades.stoa.org/places/423025	
https://viaf.org/viaf/104162705	http://schema.org/workLocation	https://pleiades.stoa.org/places/423025	
https://viaf.org/viaf/104162705	http://schema.org/deathDate	-35	
https://viaf.org/viaf/88342447	dc:identifier	https://www.wikidata.org/wiki/Q7198	
https://viaf.org/viaf/88342447	xmlns.com/foaf/0.1/name	Ovide	fre
https://viaf.org/viaf/88342447	http://schema.org/birthPlace	https://pleiades.stoa.org/places/413019	
https://viaf.org/viaf/88342447	http://schema.org/deathPlace	https://pleiades.stoa.org/places/217016	
https://viaf.org/viaf/88342447	http://schema.org/givenName	Naso	lat
https://viaf.org/viaf/88342447	http://schema.org/memberOf	https://www.wikidata.org/wiki/Q122166	
https://viaf.org/viaf/88342447	http://schema.org/relatedTo	https://www.wikidata.org/wiki/Q1405	
https://viaf.org/viaf/88342447	http://schema.org/spouse	Fabia	lat
https://viaf.org/viaf/88342447	http://xmlns.com/foaf/0.1/Group	https://www.wikidata.org/wiki/Q122166	
https://viaf.org/viaf/309541915	http://schema.org/Book	https://viaf.org/viaf/88342447	
https://viaf.org/viaf/309541915	http://schema.org/Book	https://viaf.org/viaf/302466394	
https://viaf.org/viaf/309541915	http://schema.org/Book	https://viaf.org/viaf/301102439	
https://viaf.org/viaf/309541915	http://schema.org/Book	https://viaf.org/viaf/174402707/	
https://viaf.org/viaf/309541915	http://schema.org/Book	https://viaf.org/viaf/176453208	
https://viaf.org/viaf/309541915	http://schema.org/Book	https://viaf.org/viaf/990145856882922920263	
https://viaf.org/viaf/88342447	http://schema.org/workLocation	http://www.geonames.org/maps/google_37.979_23.716.html	
https://viaf.org/viaf/100219060	http://xmlns.com/foaf/0.1/name	Cornelius	Nepos	fre
https://viaf.org/viaf/100219060	http://schema.org/birthPlace	https://pleiades.stoa.org/places/393438	
https://viaf.org/viaf/100219060	http://schema.org/birthDate	-100	
https://viaf.org/viaf/100219060	http://schema.org/deathPlace	http://www.geonames.org/maps/google_41.892_12.511.html	
https://viaf.org/viaf/100219060	http://schema.org/deathDate	-25	
https://viaf.org/viaf/100219060	http://schema.org/GenderType	http://schema.org/Male	
https://viaf.org/viaf/100219060	http://xmlns.com/foaf/0.1/knows	https://viaf.org/viaf/178490045	
https://viaf.org/viaf/100219060	http://xmlns.com/foaf/0.1/knows	https://viaf.org/viaf/78769600	
https://viaf.org/viaf/100219060	http://xmlns.com/foaf/0.1/knows	https://viaf.org/viaf/100218993	
https://viaf.org/viaf/100219060	http://schema.org/hasOccupation	https://www.wikidata.org/wiki/Q201788	
https://viaf.org/viaf/100219060	http://schema.org/hasOccupation	https://www.wikidata.org/wiki/Q36180	
https://viaf.org/viaf/100219060	http://schema.org/hasOccupation	https://www.wikidata.org/wiki/Q864380	
https://viaf.org/viaf/100219060	https://www.wikidata.org/wiki/Property:P53	https://www.wikidata.org/wiki/Q221312	
https://viaf.org/viaf/100219060	http://schema.org/author	https://viaf.org/viaf/207939228	
https://viaf.org/viaf/100219060	http://schema.org/author	https://viaf.org/viaf/189367035	
https://viaf.org/viaf/100219060	http://schema.org/author	https://viaf.org/viaf/181179180	
https://viaf.org/viaf/66462384	http://xmlns.com/foaf/0.1/name	Térence	fre
https://viaf.org/viaf/66462384	http://xmlns.com/foaf/0.1/name	Publius	Terentius	Afer	lat
https://viaf.org/viaf/66462384	http://schema.org/birthPlace	https://pleiades.stoa.org/places/314921	
https://viaf.org/viaf/66462384	http://schema.org/birthDate	-190	
https://viaf.org/viaf/66462384	http://schema.org/deathPlace	https://pleiades.stoa.org/places/423025	
https://viaf.org/viaf/66462384	http://schema.org/deathDate	-159	
https://viaf.org/viaf/66462384	http://xmlns.com/foaf/0.1/maker	https://www.wikidata.org/wiki/Q40831	
https://viaf.org/viaf/66462384	http://xmlns.com/foaf/0.1/knows	https://www.wikidata.org/wiki/Q2307	
https://viaf.org/viaf/66462384	http://schema.org/author	https://www.wikidata.org/wiki/Q1233645	
https://viaf.org/viaf/66462384	http://schema.org/author	https://www.wikidata.org/wiki/Q545258	
https://viaf.org/viaf/66462384	http://schema.org/author	https://www.wikidata.org/wiki/Q678909	
https://viaf.org/viaf/66462384	http://schema.org/author	https://www.wikidata.org/wiki/Q1233598	
https://viaf.org/viaf/66462384	http://schema.org/author	https://www.wikidata.org/wiki/Q1217045	
https://viaf.org/viaf/66462384	http://schema.org/author	https://www.wikidata.org/wiki/Q355342	
https://viaf.org/viaf/90637919	xmlns.com/foaf/0.1/name	Sénèque	fre
https://viaf.org/viaf/90637919	xmlns.com/foaf/0.1/name	Lucius	Annaeus	Seneca	lat
https://viaf.org/viaf/90637919	http://schema.org/birthPlace	https://viaf.org/viaf/155934955	
https://viaf.org/viaf/90637919	http://schema.org/birthDate	-4	
https://viaf.org/viaf/90637919	http://schema.org/deathDate	12/04/65	
https://www.wikidata.org/wiki/Q48235	http://xmlns.com/foaf/0.1/topic_interest	https://viaf.org/viaf/90637919	
https://viaf.org/viaf/90637919	http://xmlns.com/foaf/0.1/nickname	Sénèque	le	Philosophe	fre
https://viaf.org/viaf/90637919	https://www.wikidata.org/wiki/Q609016	https://www.wikidata.org/wiki/Q1413	
https://viaf.org/viaf/90637919	http://xmlns.com/foaf/0.1/publications	https://www.wikidata.org/wiki/Q1180596	
https://viaf.org/viaf/90637919	http://xmlns.com/foaf/0.1/publications	https://www.wikidata.org/wiki/Q3332727	
https://viaf.org/viaf/90637919	http://xmlns.com/foaf/0.1/publications	https://www.wikidata.org/wiki/Q720535	
https://viaf.org/viaf/90637919	http://www.perceive.net/schemas/20021119/relationship/#childOf	https://www.wikidata.org/wiki/Q273671	
https://viaf.org/viaf/90637919	http://www.perceive.net/schemas/20021119/relationship/#enemyOf	https://www.wikidata.org/wiki/Q229871	
https://www.wikidata.org/wiki/Q229871	http://www.perceive.net/schemas/20021119/relationship/#spouseOf	https://www.wikidata.org/wiki/Q1411	
https://viaf.org/viaf/90637919	http://www.perceive.net/schemas/20021119/relationship/#acquaintanceOf	https://www.wikidata.org/wiki/Q453916	
https://viaf.org/viaf/90637919	http://xmlns.com/foaf/0.1/Organization	https://www.wikidata.org/wiki/Q787204	
https://viaf.org/viaf/90637919	http://www.perceive.net/schemas/20021119/relationship/#siblingOf	https://www.wikidata.org/wiki/Q452194	
https://viaf.org/viaf/83985148	http://xmlns.com/foaf/0.1/name	Juvénal	fre
https://viaf.org/viaf/83985148	https://pending.schema.org/hasOccupation	https://www.wikidata.org/wiki/Q49757	
https://viaf.org/viaf/83985148	http://schema.org/birthPlace	https://pleiades.stoa.org/places/432695	
https://viaf.org/viaf/83985148	http://schema.org/author	https://www.wikidata.org/wiki/Q2707099	
https://viaf.org/viaf/83985148	http://schema.org/knows	https://www.wikidata.org/wiki/Q2098	
https://viaf.org/viaf/83985148	http://schema.org/deathPlace	https://pleiades.stoa.org/places/716588	
https://viaf.org/viaf/83985148	http://schema.org/parent	https://www.wikidata.org/wiki/Q841571	
https://viaf.org/viaf/83985148	http://schema.org/follows	https://www.wikidata.org/wiki/Q193769	
